osID,title,tier,tier_label,health_related,disease_areas,primary_disease_area,nlp_classified,ai_classified,ai_confidence,nlp_mesh_evidence,classification_source
OS-3,"Electron Microscopy Images; Primary Perceptive Structure of the Brain, Morphology and Histochemistry",2,Probable,True,Neurological diseases; Endocrine and metabolic diseases,Neurological diseases,False,True,0.9,,ai_high
OS-4,Digitized Graphic Drawings; Morphology of Neurons of the Brain Cortex,2,Probable,True,Neurological diseases,Neurological diseases,False,True,0.9,,ai_high
OS-5,Electron Microscopy Images; Ultrastructure of the Brain Cortex,2,Probable,True,Cardiovascular diseases; Neurological diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-7,Electron Microscopy Images; The Effects of Zero Gravity on Rat Skeletal Muscle,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-8,SLS-1 Bone Calcium and Spaceflight experiment data,2,Probable,True,Cancer; Endocrine and metabolic diseases; Musculoskeletal diseases,Cancer,False,True,0.9,,ai_high
OS-11,SLS-1 Regulation of Blood Volume During Spaceflight experiment data,2,Probable,True,Kidney diseases; Endocrine and metabolic diseases,Kidney diseases,False,True,0.9,,ai_high
OS-12,SLS-2 Regulation of Blood Volume During Spaceflight experiment data,2,Probable,True,Cardiovascular diseases; Kidney diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-13,SLS-2 Regulation of Erythropoiesis During Spaceflight experiment data,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-14,"SLS-2 Bone, Calcium, and Spaceflight experiment data",2,Probable,True,Kidney diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,Kidney diseases,False,True,0.9,,ai_high
OS-15,Animal Studies on Spacelab-3 experiment data,2,Probable,True,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases; Mental health,Cardiovascular diseases,False,True,0.9,,ai_high
OS-16,SL-3 Otoconial Morphology in Space-Flown Rats,0,Not health-related,False,,,True,True,0.9,,none
OS-17,SL-3 Small Rat Amino Acids (nmol/mg protien),2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-18,"SL-3 Small Rat Muscle (glycogen, lactate, malate, and fumarate)",2,Probable,True,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-19,SL-3 Small Rat Fresh Weight and Total Protien,2,Probable,True,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-20,IML-2 Early Development of a Gravity-Receptor Organ in Microgravity experiment data,2,Probable,True,Eye diseases,Eye diseases,False,True,0.9,,ai_high
OS-21,Autogenic Feedback Training Experiment (AFTE) ambulatory recordings of all subjects during SL-3 and SL-J,2,Probable,True,Neurological diseases; Cardiovascular diseases; Mental health,Neurological diseases,False,True,0.85,,ai_high
OS-22,SL-J Effect of Weightlessness on Development of Amphibian Eggs experiment data,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-23,SLS-2 Effects of Zero-Gravity Exposure on Biochemical and Metabolic Properties of Skeletal Muscle experiment data,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-24,Neurolab Neural Thyroid Interaction on Skeletal Isomyosin Expression in Zero-G experiment data,1,Confirmed,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,True,True,0.9,D011488,nlp+ai
OS-25,Neurolab Neuronal Development Under Conditions of Space Flight experiment data,2,Probable,True,Women's health; Mental health,Women's health,False,True,0.9,,ai_high
OS-26,Effects of Microgravity on Growth Hormone Concentration and Distribution in Plants Data,2,Probable,True,Endocrine and metabolic diseases; Mental health,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-27,Immune.3 PI data,2,Probable,True,Cardiovascular diseases; Eye diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-28,Immune.2 PI data,2,Probable,True,Cardiovascular diseases; Cancer; Neurological diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-29,Immune.1 PI data,2,Probable,True,Cardiovascular diseases; Cancer; Neurological diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-38,Neurolab Apoptosis in Microgravity-Sensitive Cells After Space Flight experiment data,2,Probable,True,Kidney diseases; Cancer; Endocrine and metabolic diseases; Musculoskeletal diseases,Kidney diseases,False,True,0.9,,ai_high
OS-39,SLS-1 Calbindins and Apoptosis After Short-term Spaceflight experiment data,2,Probable,True,Kidney diseases; Cancer; Endocrine and metabolic diseases; Musculoskeletal diseases,Kidney diseases,False,True,0.9,,ai_high
OS-40,Mir 18 Effect of Microgravity on Afferent Innervation,2,Probable,True,Neurological diseases,Neurological diseases,False,True,0.9,,ai_high
OS-41,STS-106 Flight GAP Temperature Data,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-42,Isolation and analysis of embryonic quail hearts,1,Confirmed,True,Cardiovascular diseases,Cardiovascular diseases,True,True,0.9,D006331,nlp+ai
OS-43,Physical measurements and analysis of quail embryo eyes at embryonic (E) days 14  and 16.,2,Probable,True,Eye diseases; Musculoskeletal diseases,Eye diseases,False,True,0.9,,ai_high
OS-44,Quail embryo viability from experiment Skeletal Development in Long Duration Spaceflight,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-45,PARE.01 Physiological and Anatomical Rodent Experiment 1 experiment data,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-1,SLS-1 Effects of Space Travel on Mammalian Gravity Receptors experiment data,2,Probable,True,Neurological diseases; Eye diseases,Neurological diseases,False,True,0.9,,ai_high
OS-6,"SLS-1 Electron Microscopy, Light Microscopy, and Protease Activity of Rat Hindlimb Muscles experiment data",1,Confirmed,True,Cardiovascular diseases,Cardiovascular diseases,True,True,0.9,D013927,nlp+ai
OS-9,Effects of Microgravity-Induced Weightlessness on Aurelia Ephyra Differentiation and Statolith Synthesis,2,Probable,True,Neurological diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,Neurological diseases,False,True,0.75,,ai_high
OS-47,Initial Report of Data PARE.02 BSP: Comparison of Ground and On-Orbit DNA Synthesis in Rat Gastric Epithelium During STS-54,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-49,NIH.R1 Laboratory Data,2,Probable,True,Women's health; Musculoskeletal diseases,Women's health,False,True,0.9,,ai_high
OS-48,NIH.R1 Flow Cytometry Charts,2,Probable,True,Women's health; Musculoskeletal diseases,Women's health,False,True,0.9,,ai_high
OS-46,LMS Role of Corticosteroids in Bone Loss During Space Flight experiment data,1,Confirmed,True,Musculoskeletal diseases,Musculoskeletal diseases,True,True,0.9,D001862,nlp+ai
OS-50,STS-76 Microgravity Effects on Bone Cell Gene Expression,0,Not health-related,False,,,True,True,0.9,,none
OS-51,Electron microscopy of quail limb tissues from experiment Skeletal Development in Long Duration Spaceflight,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-52,Sections of tissues on slides from experiment  Skeletal Development in Long Duration Spaceflight,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-53,"Mir18, Mir19, NASA2 Fecundity of Quail in Spacelab Microgravity experiment data",2,Probable,True,Women's health,Women's health,False,True,0.9,,ai_high
OS-54,NIH.R1 Effects of Spaceflight on Muscles and Nerves experiment data,2,Probable,True,Neurological diseases; Musculoskeletal diseases,Neurological diseases,False,True,0.9,,ai_high
OS-55,NIH.R2 Effects of Spaceflight on Muscles and Nerves experiment data,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-56,NIH.R1 Flight Animal Data: An Experiment to Study the Role of Gravity in the Development of the Optic Nerve,2,Probable,True,Neurological diseases; Eye diseases,Neurological diseases,False,True,0.9,,ai_high
OS-57,NIH.R1 Control Animal Data: An Experiment to Study the Role of Gravity in the Development of the Optic Nerve,2,Probable,True,Neurological diseases; Eye diseases,Neurological diseases,False,True,0.9,,ai_high
OS-58,Skeletal Development in Embryonic Quail,2,Probable,True,Cancer; Musculoskeletal diseases,Cancer,False,True,0.9,,ai_high
OS-59,List of TLD Measurements,2,Probable,True,Cancer; Cardiovascular diseases; Neurological diseases; Eye diseases,Cancer,False,True,0.95,,ai_high
OS-60,STS-106 Flight Environmental Data,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-61,STS-106 Ground Control and Flight Fillet Scores,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-62,STS-106 Ground Control GAP Temperature Profiles,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-63,STS-106 Flight Sample Processing,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-64,STS-106 Preflight,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-65,STS-106 Plate Fate Logsheet,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-66,STS-106 Flight Sample Processing (photocopy of logbook),2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-67,NASA 5 Effects of Gravity on Insect Circadian Rhythm experiment data,2,Probable,True,Mental health,Mental health,False,True,0.9,,ai_high
OS-68,NIH.R1 Effects of Gravity on the Attachment of Tendon to Bone Summary Data,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-69,Alkaline Phosphatase (ALP) activity losses at 37°C between times of cell fixation and sample harvest,0,Not health-related,False,,,True,True,0.9,,none
OS-70,Lactate in ROS 17/2.8 Conditioned Medium (STS-80),0,Not health-related,False,,,True,True,0.9,,none
OS-71,NIH R1 Microgravity and Placental Development experiment data,2,Probable,True,Women's health; Endocrine and metabolic diseases,Women's health,False,True,0.9,,ai_high
OS-72,SLS-2 Crural Diaphragm,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-79,Greenhouse III: Developmental Analysis of Seeds Grown on Mir,2,Probable,True,Women's health,Women's health,False,True,0.9,,ai_high
OS-80,TROPI Data,0,Not health-related,False,,,False,False,0.75,,none
OS-81,SLS-2 Summary of Fibre Types,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-82,SLS-2 Summary of MHC Isoform Data,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-83,Mir 19 Effect of Microgravity on Afferent Innervation,2,Probable,True,Neurological diseases,Neurological diseases,False,True,0.9,,ai_high
OS-84,NASA 2 Effect of Microgravity on Afferent Innervation,2,Probable,True,Neurological diseases,Neurological diseases,False,True,0.9,,ai_high
OS-85,STS-81 Microgravity Effects on Bone Cell Gene Expression,0,Not health-related,False,,,True,True,0.9,,none
OS-86,STS-84 Microgravity Effects on Bone Cell Gene Expression,0,Not health-related,False,,,True,True,0.9,,none
OS-87,Spaceflight Effects on Regeneration in Lower Vertebrates: Molecular-Biology and Cytochemistry Examinations,0,Not health-related,False,,,True,True,0.9,,none
OS-88,The Effect of Spaceflight on Cartilage Cell Cycling and Differentiation,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-89,Effects of Microgravity on the Body Wall Muscles in Rodents,0,Not health-related,False,,,True,True,0.9,,none
OS-90,Histological Effects of Microgravity on Rat Body Wall Musculature Raw Data,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-91,"The Effect of Microgravity on the Morphology and Function of the Nervous System, Skeleton and Endocrine Organs of the Gecko",2,Probable,True,Cardiovascular diseases; Cancer; Neurological diseases; Women's health; Endocrine and metabolic diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-92,Spaceflight Effects on Structural Stability and Genetic Information Transfer in Plasmid pIJ702 of Actinomycetes Streptomyces lividans 66,2,Probable,True,Rare inherited disorders,Rare inherited disorders,False,True,0.9,,ai_high
OS-93,Spaceflight Effects on Regeneration in Lower Vertebrates: Molecular-Biology and Cytochemistry Examinations,2,Probable,True,Cancer; Endocrine and metabolic diseases,Cancer,False,True,0.9,,ai_high
OS-94,Structure and Function of the Snail Statocyst System after Flight on Foton-M-3,2,Probable,True,Neurological diseases,Neurological diseases,False,True,0.9,,ai_high
OS-95,HOBO Combo Data,2,Probable,True,Cancer; Rare inherited disorders; Endocrine and metabolic diseases,Cancer,False,True,0.7,,ai_high
OS-97,STS-135 Mouse retina gene expression and immunohistochemical sections,2,Probable,True,Eye diseases,Eye diseases,False,True,0.9,,ai_high
OS-96,Duke Proteomics Data,2,Probable,True,Cardiovascular diseases; Cancer; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-98,Integrative Response of C. elegans to Environmental Stresses in Microgravity,0,Not health-related,False,,,True,True,0.9,,none
OS-103,"Microgravity Effects on the Function of Vascular Stem Cells, Additional Data",2,Probable,True,Cardiovascular diseases; Cancer; Musculoskeletal diseases; Mental health,Cardiovascular diseases,False,True,0.9,,ai_high
OS-104,"Microgravity Effects on the Function of Vascular Stem Cells, Digital Images",2,Probable,True,Cardiovascular diseases; Cancer; Musculoskeletal diseases; Mental health,Cardiovascular diseases,False,True,0.9,,ai_high
OS-105,"Microgravity Effects on the Function of Vascular Stem Cells, Human Blood Derived Cells Study",2,Probable,True,Cardiovascular diseases; Cancer; Musculoskeletal diseases; Mental health,Cardiovascular diseases,False,True,0.9,,ai_high
OS-106,"Microgravity Effects on the Function of Vascular Stem Cells, Porcine Blood Derived Cell Study",2,Probable,True,Cardiovascular diseases; Cancer; Musculoskeletal diseases; Mental health,Cardiovascular diseases,False,True,0.9,,ai_high
OS-107,"Microgravity Effects on the Function of Vascular Stem Cells, Optimization Experiments",2,Probable,True,Cardiovascular diseases; Cancer; Musculoskeletal diseases; Mental health,Cardiovascular diseases,False,True,0.9,,ai_high
OS-108,"The Effect of Microgravity on Mycobacteria, Survival Analysis data",3,Uncertain,True,Rare inherited disorders; Endocrine and metabolic diseases,Rare inherited disorders,False,True,0.4,,ai_low
OS-109,"The Effect of Microgravity on Mycobacteria, Bacterium Size data",3,Uncertain,True,Rare inherited disorders; Endocrine and metabolic diseases,Rare inherited disorders,False,True,0.4,,ai_low
OS-110,"The Effect of Microgravity on Mycobacteria, Growth data",3,Uncertain,True,Rare inherited disorders; Endocrine and metabolic diseases,Rare inherited disorders,False,True,0.4,,ai_low
OS-117,Temporal RNA Integrity Analysis of Archived Spaceflight Biological Samples from ALSDA from 1991-2016,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-121,1. Virulence and Persistence Data for Salmonella Typhimurium using the human surrogate host C. elegans,2,Probable,True,,,False,True,0.75,,ai_high
OS-122,"2. Virulence and Persistence Data for the ISS potable water isolate, Burkholderia multivorans, using the human surrogate host C. elegans",0,Not health-related,False,,,False,False,0.75,,none
OS-123,3. Virulence Data for multidrug resistant Staphylococcus aureus using the human surrogate host C. elegans,2,Probable,True,,,False,True,0.75,,ai_high
OS-124,Quantitative PCR Raw Data,2,Probable,True,Cancer; Endocrine and metabolic diseases,Cancer,False,True,0.9,,ai_high
OS-125,SporeSat2 Ground Experiments – ZeroDay Results,0,Not health-related,False,,,False,False,0.75,,none
OS-126,Center for Space Radiation Research - Long Evans rats exposed to protons or oxygen ions,1,Confirmed,True,Cardiovascular diseases; Cancer; Neurological diseases,Cardiovascular diseases,True,True,0.9,D053821|D001929|D002318|D063646,nlp+ai
OS-128,"Center for Space Radiation Research - Male C57BL/6 mice exposed to protons, oxygen ions, or gamma-rays",1,Confirmed,True,Cardiovascular diseases; Cancer; Neurological diseases,Cardiovascular diseases,True,True,0.9,D053821|D001929|D002318|D063646,nlp+ai
OS-129,Differentiation of Bone Marrow Macrophages in Space (BONEMAC) Bioreactor video,2,Probable,True,Cancer; Musculoskeletal diseases,Cancer,False,True,0.9,,ai_high
OS-130,Effects of Spaceflight on Bone Microarchitecture in the Axial and Appendicular Skeleton in Growing Ovariectomized Rats,1,Confirmed,True,Musculoskeletal diseases; Endocrine and metabolic diseases; Rare inherited disorders,Musculoskeletal diseases,True,True,0.9,D009765|D009139|D011488|D001851|D010022,nlp+ai
OS-132,"Bone Marrow Adipose Tissue Deficiency Increases 
Disuse-Induced Bone Loss in Male Mice",1,Confirmed,True,Musculoskeletal diseases; Endocrine and metabolic diseases; Rare inherited disorders,Musculoskeletal diseases,True,True,0.9,D009765|D009139|D011488|D001851|D010022,nlp+ai
OS-133,Center for Space Radiation Research – Male C57BL/6 mice exposed to oxygen ions and treated with the countermeasure γ-tocotrienol (GT3),1,Confirmed,True,Cardiovascular diseases; Cancer; Neurological diseases,Cardiovascular diseases,True,True,0.9,D053821|D001929|D002318|D063646,nlp+ai
OS-134,Center for Space Radiation Research – Female C57BL/6 mice exposed to oxygen ions,1,Confirmed,True,Cardiovascular diseases; Cancer; Neurological diseases,Cardiovascular diseases,True,True,0.9,D053821|D001929|D002318|D063646,nlp+ai
OS-137,Center for Space Radiation Research – Male New Zealand White rabbits exposed to a single dose of protons or oxygen ions,1,Confirmed,True,Cardiovascular diseases; Cancer; Neurological diseases,Cardiovascular diseases,True,True,0.9,D053821|D001929|D002318|D063646,nlp+ai
OS-135,Effect of Hindlimb Unloading on Bone in Male Leptin Deficient Mice,1,Confirmed,True,Musculoskeletal diseases; Endocrine and metabolic diseases; Rare inherited disorders,Musculoskeletal diseases,True,True,0.9,D009765|D009139|D011488|D001851|D010022,nlp+ai
OS-140,Space Flight Environment Induces Remodeling of Vascular Network and Glia-Vascular Communication in Mouse Retina,0,Not health-related,False,,,True,True,0.9,,none
OS-141,RR-1 Validation Mission - Lumbar Spine Bone Microarchitecture,2,Probable,True,Women's health; Musculoskeletal diseases; Mental health,Women's health,False,True,0.9,,ai_high
OS-142,Long-Term Effects of Very Low Dose Particle Radiation on Gene Expression in the Heart: Degenerative Disease Risks,1,Confirmed,True,Cardiovascular diseases,Cardiovascular diseases,True,True,0.9,D050197,nlp+ai
OS-143,Leukin: How T-Cells Functions in Space,2,Probable,True,Cancer; Rare inherited disorders; Endocrine and metabolic diseases,Cancer,False,True,0.85,,ai_high
OS-482,Isolation and analysis of embryonic quail hearts,1,Confirmed,True,Cardiovascular diseases,Cardiovascular diseases,True,True,0.9,D006331,nlp+ai
OS-506,Physical measurements and analysis of quail embryo eyes at embryonic (E) days 14  and 16.,2,Probable,True,Eye diseases; Musculoskeletal diseases,Eye diseases,False,True,0.9,,ai_high
OS-508,Isolation and analysis of embryonic quail hearts,1,Confirmed,True,Cardiovascular diseases,Cardiovascular diseases,True,True,0.9,D006331,nlp+ai
OS-670,"Myosins and myomiRs: The effects of spaceflight on myosin heavy chain gene and microRNA
expression in heart and skeletal muscle",2,Probable,True,Cardiovascular diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-671,Synaptic Plasticity in Utricular Hair Cells,2,Probable,True,Neurological diseases,Neurological diseases,False,True,0.9,,ai_high
OS-864,Physical and Biological Modulators of Space Radiation Carcinogenesis: Mechanistically- Based Model Development for Space Radiation Risk Assessment,1,Confirmed,True,Cancer,Cancer,True,True,0.9,D063646|D009369,nlp+ai
OS-849,Neurobehavioral and CNS-Related Physiological Changes Following Space Radiation,1,Confirmed,True,Cancer,Cancer,True,True,0.9,D009381,nlp+ai
OS-900,Impact of Spaceflight on Beneficial Animal-Microbe Interactions,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-136,"Head-Down Tilt As a Model for Intracranial and Intraocular Pressures, and Retinal Changes during Spaceflight",2,Probable,True,Neurological diseases; Eye diseases; Women's health; Mental health,Neurological diseases,False,True,0.9,,ai_high
OS-30,Neurolab Ensemble Neural Coding of Place and Direction in Zero-G experiment data,2,Probable,True,Neurological diseases; Mental health,Neurological diseases,False,True,0.9,,ai_high
OS-818,Housing Temperature: An Important Variable for Simulated Spaceflight Studies Using Mice,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
SSRE-1KUNZ-PF,1KUNZ-PF,0,Not health-related,False,,,False,False,0.75,,none
SSRE-2020-PRINT,2020 Print,0,Not health-related,False,,,False,False,0.75,,none
SSRE-2D-NANOTEMPLATE,Production of Two Dimensional NanoTemplate in Microgravity,0,Not health-related,False,,,False,False,0.75,,none
SSRE-3D-CARDIAC-ORGANOID-CULTURES,Studying the Effects of Microgravity on Cardiac Organoid Cultures,2,Probable,True,Cardiovascular diseases,Cardiovascular diseases,False,True,0.9,,ai_high
SSRE-3D-COLLOIDAL-CRYSTALS,Fabrication of Large 3D Colloidal Crystals in Space,0,Not health-related,False,,,False,False,0.75,,none
SSRE-3D-PRINTED-ANTENNA-FEEDHORN,On-Orbit Validation of Additive Manufacturing of High Frequency Microwave Components in Microgravity,0,Not health-related,False,,,False,False,0.75,,none
SSRE-3D-PRINTING-IN-ZERO-G,3D Printing In Zero-G Technology Demonstration,0,Not health-related,False,,,False,False,0.75,,none
SSRE-3D-VIT,3D Visual Training,2,Probable,True,Eye diseases; Neurological diseases,Eye diseases,False,True,0.75,,ai_high
SSRE-3DA1-CAMCORDER,Panasonic 3D Camera,0,Not health-related,False,,,False,False,0.75,,none
SSRE-3DMM,Three-dimensional Microbial Monitoring (3DMM) of ISS Environment,3,Uncertain,True,Rare inherited disorders; Musculoskeletal diseases,Rare inherited disorders,False,True,0.3,,ai_low
SSRE-3DOIS,Organoid Formation from Human Stem Cells,2,Probable,True,Cancer; Neurological diseases; Kidney diseases; Cardiovascular diseases; Rare inherited disorders; Endocrine and metabolic diseases; Eye diseases,Cancer,False,True,0.7,,ai_high
SSRE-3D-SPACE,Mental Representation of Spatial Cues During Space Flight,2,Probable,True,Mental health,Mental health,False,True,0.9,,ai_high
SSRE-ACE-H-1,Advanced Colloids Experiment-Heated-1,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACE-H-2,Advanced Colloids Experiment-Heated-2,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACE-M-1,Advanced Colloids Experiment-Microscopy-1,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACE-M-2,Advanced Colloids Experiment-Microscopy-2,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACE-M-3,Advanced Colloids Experiment-Microscopy-3,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACES,Atomic Clock Ensemble in Space,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACE-T-1,Advanced Colloids Experiment-Temperature control-1,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACE-T-10,Advanced Colloids Experiment-Temperature-10,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACE-T-11,Advanced Colloids Experiment-Temperature Control and Gradient Sample-11 (ACE-T-11),0,Not health-related,False,,,True,False,0.75,,none
SSRE-ACE-T-12,Advanced Colloids Experiment-Nanoparticle Haloing,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACE-T-2,Advanced Colloids Experiment-Temperature-2,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACE-T-4,Advanced Colloids Experiment-Temperature-4,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACE-T-5,Advanced Colloids Experiment-Temperature-5,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACE-T-6,Advanced Colloids Experiment-Temperature-6,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACE-T-7,Advanced Colloids Experiment-Temperature-7,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACE-T-9,"Advanced Imaging, Folding, and Assembly of Colloidal Molecules",0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACE-T-ELLIPSOIDS,Nonequilibrium Processing of Particle Suspensions with Thermal and Electrical Field Gradients,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACME,Advanced Combustion via Microgravity Experiments,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACOUSTIC-DIAGNOSTICS,Acoustic Upgraded Diagnostics In-Orbit,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACOUSTIC-TO-MANIPULATE-FLUIDS,Acoustic to Manipulate Fluids,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACQUIRED-EQUIVALENCE-TEST,Association Learning and Connected Memory Processes in Microgravity,2,Probable,True,Neurological diseases; Mental health,Neurological diseases,False,True,0.85,,ai_high
SSRE-ACTIN,Role of Weightlessness on Metabolism,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases; Cardiovascular diseases,Endocrine and metabolic diseases,False,True,0.95,,ai_high
SSRE-ACTIVE-COLLOIDS-IN-MICROGRAVITY,Active Colloids in Microgravity,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ACTIVE-TISSUE-EQUIVALENT-DOSIMETER,Active Tissue Equivalent Dosimeter,2,Probable,True,Cancer; Cardiovascular diseases; Neurological diseases,Cancer,False,True,0.85,,ai_high
SSRE-ADCS-IN-MICROGRAVITY,Efficacy and Metabolism of Azonafide Antibody-Drug Conjugates (ADCs) in Microgravity,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
SSRE-ADF-OTOLITH,Avian Development Facility - Development and Function of the Avian Otolith System in Normal Altered Gravity Environments,2,Probable,True,Neurological diseases; Eye diseases,Neurological diseases,False,True,0.85,,ai_high
SSRE-ADF-SKELETAL,Avian Development Facility - Skeletal Development in Embryonic Quail,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
SSRE-ADIDAS-BOOST,BOOST Orbital Operations on Spheroid Tessellation,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ADIDAS-OS-SPIN,adidas OS Rotation-Induced Characteristics of a Sphere,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ADSEP-PHASE-SEPARATION,Active Liquid-Liquid Phase Separation,0,Not health-related,False,,,False,False,0.75,,none
SSRE-ADSEP-PIL-04,Pharmaceutical In-space Laboratory &ndash; 04 (PIL-04),3,Uncertain,True,Cancer; Cardiovascular diseases; Endocrine and metabolic diseases,Cancer,False,True,0.4,,ai_low
SSRE-ADSEP-PIL-05,Pharmaceutical In-space Laboratory &ndash; 05 (PIL-05),3,Uncertain,True,Cancer; Cardiovascular diseases; Endocrine and metabolic diseases,Cancer,False,True,0.4,,ai_low
SSRE-ADSEP-PIL-06,Pharmaceutical In-space Laboratory &ndash; 06 (PIL-06),3,Uncertain,True,Cancer; Cardiovascular diseases; Endocrine and metabolic diseases,Cancer,False,True,0.3,,ai_low
SSRE-ADSEP-PIL-07,Pharmaceutical In-space Laboratory &ndash; 07 (PIL-07),0,Not health-related,False,,,False,False,0.75,,none
SSRE-ADSEP-PIL-08,Pharmaceutical In-space Laboratory &ndash; 08 (PIL-08),0,Not health-related,False,,,False,False,0.75,,none
SSRE-ADSEP-PIL-09,Pharmaceutical In-space Laboratory &ndash; 09 (PIL-09),0,Not health-related,False,,,False,False,0.75,,none
